71.48	1.08	24.12	0.23	8.758
73.62	0.97	24.31	0.3	8.996
75.76	1.5	24.21	0.4	8.918
84.54	1.07	24.27	0.5	8.885
84.89	1.27	23.9	0.4	9.007
90.59	1.31	24.01	0.18	8.781
90.91	1.06	24.08	0.36	9.061
15.9	0.71	25.07	0.63	8.814
16.45	1.27	25.25	0.32	8.42
16.72	0.88	24.53	0.4	8.715
17	1.07	25.29	0.33	8.613
17.01	0.91	25.82	0.44	8.796
19.69	0.67	24.86	0.4	8.784
25.7	0.89	24.48	0.18	8.48
26.08	0.99	23.98	0.7	8.878
26.96	1.36	24.16	0.36	8.858
26.98	1.01	24.4	0.19	8.481
27.45	1.04	24.41	0.24	8.72
27.94	0.87	24.82	0.32	8.839
29.33	1.02	24.11	0.24	8.705
29.37	0.98	24.48	0.23	8.571
29.45	1.35	24.29	0.23	8.538
30.34	1.29	24.07	0.48	8.851
30.39	0.91	23.83	0.42	8.851
31.37	0.67	24.33	0.3	8.845
32.42	1.02	24.35	0.45	8.897
34.1	1.21	24.19	0.19	8.68
35.11	1.21	23.54	0.26	8.786
37.01	1.61	24.27	0.38	9.018
39.06	1.06	24.04	0.41	8.905
40.73	1.14	23.47	0.2	8.673
40.85	1.43	24.26	0.23	8.825
42.9	1.1	23.44	0.36	8.854
43	0.97	23.96	0.32	8.72
47.24	0.91	23.03	0.22	8.848
51.45	1.33	23.91	0.25	8.884
57.13	0.95	23.42	0.16	8.668
63.17	1.32	23.35	0.26	8.915
68.46	1.25	22.9	0.32	8.976
15.22	1.08	25.64	0.54	8.748
15.58	0.52	25.87	0.42	8.884
15.78	1.21	24.74	0.41	8.86
16	0.98	24.35	0.62	8.868
16.03	0.7	25.41	0.37	8.717
16.16	1.06	25.15	0.29	8.677
16.19	0.74	24.99	0.51	8.878
16.73	1.33	25.26	0.28	8.834
17.47	1.05	25.02	0.2	8.627
17.96	1.12	25.02	0.35	8.864
18.18	1.45	25.61	0.3	8.796
18.2	0.77	24.74	0.7	8.942
18.25	0.69	24.03	0.43	8.738
18.37	0.6	24.57	0.38	8.711
18.44	0.8	24.42	0.41	8.808
19.22	1.18	24.49	0.25	8.743
19.54	0.69	24.26	0.29	8.708
20.65	0.86	23.84	0.5	8.931
21.17	0.9	24.39	0.3	8.857
21.26	0.68	24.41	0.21	8.681
21.28	1.3	24.9	0.23	8.855
21.62	0.79	24.99	0.27	8.757
23.2	0.62	24.87	0.49	8.733
23.48	0.93	24.8	0.17	8.757
24.71	1.42	24.24	0.28	8.918
25.82	0.66	24.43	0.19	8.821
26.14	1.32	24.41	0.19	8.682
26.43	0.81	24.32	0.22	8.656
26.85	1.14	24.38	0.47	8.87
27.28	0.92	23.92	0.42	8.846
28.11	1.3	24.65	0.21	8.861
30.86	1.12	23.93	0.18	8.664
31.45	1.37	24.41	0.3	8.762
33.17	0.93	24.61	0.23	8.695
33.89	0.84	24.16	0.2	8.775
